"Name","Notes","Runtime","State","Tags","ID","model/num_parameters","eval/accuracy","eval/f1","eval/precision","eval/recall","eval/loss","train/loss","num_hidden_layers","hidden_size","hidden_act","hidden_dropout_prob","num_attention_heads","attention_probs_dropout_prob","intermediate_size","layer_norm_eps","max_position_embeddings","per_device_train_batch_size"
"malbert-classifier-ab021bBa2A","-","1737","finished","","a3498qu7","23011330","0.8084171320484822","0.805573758539049","0.8180900796054782","0.8084171320484822","0.3757840394973755","0.3539","7","512","gelu_new","0.01","4","0.001","2048","0.01","34","128"
"malbert-classifier-F7855383BF","-","628","finished","","2q8kprjb","39298","0.8252064513855443","0.8252037622307979","0.8252978944348492","0.8252064513855443","0.3786346912384033","0.354","3","16","gelu_new","0.1","1","0.001","128","0.01","130","64"
"malbert-classifier-Db5Ad62e9c","-","3450","finished","","j23b4zvi","104614402","0.8253983573933386","0.8259833867113575","0.8279768145246682","0.8253983573933386","0.35380786657333374","0.3643","7","640","gelu_new","0.1","5","0.01","10240","0.01","66","256"
"malbert-classifier-28be2E158A","-","635","finished","","qt4liu3u","840834","0.8104436447151221","0.8089906304616474","0.8096555296097939","0.8104436447151221","0.4446551203727722","0.3628","5","64","gelu_new","0.25","1","0.001","1024","0.025","130","128"
"malbert-classifier-886B02c169","-","2306","finished","","rijbapum","53509634","0.8716044962452771","0.8714806294326536","0.8786266049693106","0.8716044962452771","0.3481972813606262","0.2697","10","512","gelu_new","0.1","4","0.001","4096","0.01","130","128"
"malbert-classifier-4D5Aa87eb4","-","1037","finished","","95rvocsz","1506434","0.8643966088350792","0.861343245059068","0.8706204152558322","0.8643966088350792","0.31422045826911926","0.3651","4","128","silu","0.25","4","0.001","1024","0.025","34","128"
"malbert-classifier-903eFD2D1E","-","3628","finished","","crahe0mc","89832322","0.8145810578474656","0.806041056022453","0.8185028285893412","0.8145810578474656","0.3523940443992615","0.3148","6","640","gelu_new","0.001","5","0.01","10240","0.01","34","128"
"malbert-classifier-23f8CFF5Ec","-","1972","finished","","us98k5zg","587458","0.8285924439379424","0.8225394070490151","0.8346500852191528","0.8285924439379424","0.3517771065235138","0.413","6","64","gelu_new","0.25","2","0.1","512","0.01","34","64"
"malbert-classifier-42b3B69B33","-","888","finished","","7xy9gyif","5385410","0.8391026199065336","0.8374145109969736","0.8405103307040843","0.8391026199065336","0.34534457325935364","0.3845","5","224","silu","0.25","7","0.001","1792","0.025","34","256"
"malbert-classifier-C6B00806b9","-","3609","finished","","8xdudjec","4354082","0.7848881444625078","0.7782058941825222","0.7823352854675745","0.7848881444625078","0.41444242000579834","0.4121","8","160","silu","0.01","5","0.25","1280","0.01","18","64"
