,0
112,https://portableapps.com/apps/education/stellarium_portable//support/antivirus?n=Stellarium Portable&a=StellariumPortable&v=24.1.0&f=StellariumPortable_24.1.0.paf.exe&h=5506e9be718b99e8048f4bb9f3031e1c0cdc8edb41e28d3037a4d66051f7dd39
113,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
114,https://portableapps.com/apps/utilities/sumo-portable//downloading/?a=SUMoPortable&s=s&p=&d=pa&n=SUMo Portable (Discontinued)&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe
115,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
116,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
117,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeys_x86_setup.exe
118,https://pspad.poradna.net/release/pspad507_x64_setup.exe
119,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4SureSetup_1_0_1.exe
120,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
121,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-arm64-install.exe
122,https://portableapps.com/apps/graphics_pictures/krita-portable//downloading/?a=KritaPortableLegacyx86&s=s&p=&d=pa&n=Krita%20Portable&f=KritaPortableLegacyx86_4.4.3.paf.exe
123,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortable&s=s&p=&d=pa&n=Stellarium Portable&f=StellariumPortable_24.1.0.paf.exe
124,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-RETRO-Setup.exe
125,https://portableapps.com/apps/utilities/sumo-portable//downloading/?a=SUMoPortable&s=s&p=&d=pa&n=SUMo Portable (Discontinued)&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe
126,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
127,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
128,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeys_x64_setup.exe
129,https://pspad.poradna.net/release/pspad507_setup.exe
130,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4Sure64Setup.exe
131,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
132,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-install.exe
133,https://portableapps.com/apps/graphics_pictures/krita-portable//downloading/?a=KritaPortable&s=s&p=&d=pa&n=Krita Portable&f=KritaPortable_5.2.2.paf.exe
